timestamp,x,y,z,w,toCompare
1.46E+15,0.382263,0.118347,-0.264526,-0.877502,0.382263 0.118347 -0.264526
1.46E+15,0.381592,0.118652,-0.262695,-0.878235,0.381592 0.118652 -0.262695
1.46E+15,0.380127,0.11853,-0.260803,-0.879456,0.380127 0.11853 -0.260803
1.46E+15,0.378479,0.118042,-0.25885,-0.880798,0.378479 0.118042 -0.25885
1.46E+15,0.377258,0.117676,-0.256714,-0.882019,0.377258 0.117676 -0.256714
1.46E+15,0.376465,0.117493,-0.25415,-0.883118,0.376465 0.117493 -0.25415
1.46E+15,0.375488,0.117371,-0.251282,-0.884399,0.375488 0.117371 -0.251282
1.46E+15,0.374023,0.117188,-0.24823,-0.885864,0.374023 0.117188 -0.24823
1.46E+15,0.37207,0.116638,-0.245789,-0.887451,0.37207 0.116638 -0.245789
1.46E+15,0.370117,0.116272,-0.243713,-0.888916,0.370117 0.116272 -0.243713
1.46E+15,0.368713,0.116394,-0.241821,-0.890015,0.368713 0.116394 -0.241821
1.46E+15,0.367065,0.116211,-0.239624,-0.891235,0.367065 0.116211 -0.239624
1.46E+15,0.365356,0.11554,-0.237549,-0.892639,0.365356 0.11554 -0.237549
1.46E+15,0.363892,0.114746,-0.235535,-0.89386,0.363892 0.114746 -0.235535
1.46E+15,0.362549,0.114319,-0.233398,-0.89502,0.362549 0.114319 -0.233398
1.46E+15,0.360657,0.113892,-0.23114,-0.896423,0.360657 0.113892 -0.23114
1.46E+15,0.358704,0.11322,-0.229187,-0.897766,0.358704 0.11322 -0.229187
1.46E+15,0.356689,0.112732,-0.227234,-0.89917,0.356689 0.112732 -0.227234
1.46E+15,0.354858,0.112732,-0.225403,-0.90033,0.354858 0.112732 -0.225403
1.46E+15,0.353271,0.11322,-0.223877,-0.901306,0.353271 0.11322 -0.223877
1.46E+15,0.351624,0.114014,-0.22229,-0.902222,0.351624 0.114014 -0.22229
1.46E+15,0.349915,0.115173,-0.221069,-0.903015,0.349915 0.115173 -0.221069
1.46E+15,0.346802,0.115784,-0.21991,-0.904419,0.346802 0.115784 -0.21991
1.46E+15,0.343201,0.116333,-0.219055,-0.905945,0.343201 0.116333 -0.219055
1.46E+15,0.340759,0.116699,-0.218079,-0.907043,0.340759 0.116699 -0.218079
1.46E+15,0.33905,0.116821,-0.21698,-0.907959,0.33905 0.116821 -0.21698
1.46E+15,0.338257,0.116882,-0.216248,-0.908386,0.338257 0.116882 -0.216248
